,Country,Surface area (km2),"Population 1,000  (2017)",GDP (M US$),Life Exp Female,Life Exp Male
1,Afghanistan,652864,35530,20270,63.5,61
2,Albania,28748,2930,11541,79.9,75.6
3,Algeria,2381741,41318,164779,76.5,74.1
4,American Samoa,199,56,-99,77.8,71.1
5,Angola,1246700,29784,117955,63,57.4
6,Antigua and Barbuda,442,102,1356,78.2,73.3
7,Argentina,2780400,44271,632343,79.8,72.2
8,Armenia,29743,2930,10529,77,70.6
9,Aruba,180,105,2702,77.8,72.9
10,Australia,7692060,24451,1230859,84.4,80.2
11,Austria,83871,8736,376967,83.5,78.4
12,Azerbaijan,86600,9828,53049,74.6,68.6
13,Bahamas,13940,395,8854,78.1,72
14,Bahrain,771,1493,31126,77.5,75.6
15,Bangladesh,147570,164670,194466,72.9,69.8
16,Barbados,431,286,4385,77.7,72.9
17,Belarus,207600,9468,54609,77.7,66.5
18,Belgium,30528,11429,455107,83,78
19,Belize,22966,375,1721,72.7,67.2
20,Benin,114763,11176,8476,61.4,58.5
21,Bermuda,53,61,5853,85.1,77.5
22,Bhutan,38394,808,2074,68.9,68.6
23,Bolivia (Plurinational State of),1098581,11052,32998,70.2,65.3
24,Bosnia and Herzegovina,51209,3507,16251,78.8,73.7
25,Botswana,582000,2292,14391,66.1,59.8
26,Brazil,8515767,209288,1772591,78.4,71
27,Brunei Darussalam,5765,429,12930,78.4,75.1
28,Bulgaria,111002,7085,48953,77.8,70.8
29,Burkina Faso,272967,19193,11065,59.3,58
30,Burundi,27830,10864,2735,58,54.2
31,Cabo Verde,4033,546,1603,74,70.1
32,Cambodia,181035,16005,18050,69.6,65.5
33,Cameroon,475650,24054,28416,57.7,55.1
34,Canada,9984670,36624,1552808,83.8,79.7
35,Central African Republic,622984,4659,1633,51,47.8
36,Chad,1284000,14900,10009,52.8,50.5
37,Channel Islands,180,165,-99,82.4,78.7
38,Chile,756102,18055,240796,81.3,76.2
39,"China, Hong Kong SAR",1106,7365,309236,86.4,80.5
40,"China, Macao SAR",30,623,46178,86.2,80.3
41,China,9600000,1409517,11158457,77.2,74.2
42,Colombia,1141748,49066,292080,77.4,70.2
43,Comoros,2235,814,1079,64.5,61.2
44,Congo,342000,5261,8493,64.1,61
45,Cook Islands,236,17,294,79.6,71.7
46,Costa Rica,51100,4906,52958,81.7,76.7
