OrderID,OrderDate,Region,Category,CustomerSegment,Sales,Discount,Quantity,Profit
S100000,2025-02-02,East,Technology,Consumer,3709.05,0.0,9,214.48
S100001,2025-10-10,West,Office Supplies,Corporate,4979.12,0.1,2,-192.31
S100002,2025-08-27,Central,Technology,Home Office,224.07,0.2,4,-17.24
S100003,2025-06-10,Central,Office Supplies,Consumer,1239.7,0.1,2,-99.02
S100004,2025-06-08,East,Furniture,Consumer,2996.75,0.05,5,885.02
S100005,2025-11-10,South,Technology,Consumer,2087.67,0.3,4,192.86
S100006,2025-02-01,Central,Furniture,Corporate,3195.03,0.05,9,166.75
S100007,2025-09-12,West,Technology,Home Office,2940.29,0.0,9,482.97
S100008,2025-03-15,South,Office Supplies,Corporate,3944.19,0.1,10,574.76
S100009,2025-02-04,West,Technology,Corporate,373.1,0.0,5,6.6
S100010,2025-07-12,Central,Furniture,Home Office,2214.27,0.15,6,15.24
S100011,2025-12-23,East,Technology,Consumer,4303.07,0.1,10,512.75
S100012,2025-09-26,Central,Furniture,Home Office,1826.55,0.3,8,293.57
S100013,2025-10-05,South,Furniture,Consumer,2528.87,0.05,11,-47.34
S100014,2025-09-19,Central,Technology,Consumer,127.46,0.05,11,31.98
S100015,2025-10-14,Central,Office Supplies,Home Office,1136.39,0.2,1,123.48
S100016,2025-07-07,South,Technology,Corporate,2329.0,0.2,3,150.24
S100017,2025-02-16,Central,Technology,Corporate,2006.86,0.1,8,-60.36
S100018,2025-11-03,South,Furniture,Consumer,3578.98,0.3,2,191.35
S100019,2025-06-14,East,Technology,Corporate,3067.16,0.3,1,-58.76
S100020,2025-07-02,West,Furniture,Home Office,4403.81,0.15,2,-132.48
S100021,2025-05-16,West,Office Supplies,Consumer,4276.76,0.2,1,893.52
S100022,2025-03-08,Central,Technology,Consumer,1221.27,0.15,8,85.99
S100023,2025-12-05,Central,Furniture,Consumer,107.84,0.1,4,-5.8
S100024,2025-10-13,West,Technology,Corporate,4275.26,0.15,11,50.41
S100025,2025-08-24,West,Technology,Home Office,1659.02,0.3,2,-137.44
S100026,2025-05-27,South,Technology,Consumer,1748.61,0.0,6,520.25
S100027,2025-10-28,Central,Technology,Home Office,808.81,0.0,8,32.3
S100028,2025-07-19,South,Furniture,Home Office,3471.18,0.1,4,361.12
S100029,2025-06-11,West,Office Supplies,Corporate,1414.94,0.15,8,248.81
S100030,2025-06-14,West,Office Supplies,Home Office,900.18,0.05,10,-7.22
S100031,2025-03-24,East,Technology,Home Office,2526.89,0.15,8,156.34
S100032,2025-02-03,South,Office Supplies,Home Office,3757.07,0.0,7,720.28
S100033,2025-07-22,Central,Furniture,Corporate,1362.6,0.05,7,353.81
S100034,2025-11-21,South,Furniture,Consumer,3615.75,0.1,11,573.76
S100035,2025-01-24,East,Office Supplies,Home Office,2320.64,0.0,9,-47.27
S100036,2025-11-10,East,Furniture,Corporate,2030.79,0.15,1,38.54
S100037,2025-10-30,Central,Technology,Consumer,1810.41,0.15,9,54.03
S100038,2025-04-12,South,Furniture,Home Office,744.99,0.15,2,32.53
S100039,2025-08-19,East,Office Supplies,Corporate,1676.52,0.15,10,416.45
S100040,2025-03-02,Central,Office Supplies,Home Office,4398.67,0.2,4,-455.07
S100041,2025-10-04,South,Technology,Home Office,528.79,0.15,8,6.24
S100042,2025-09-13,East,Office Supplies,Consumer,4792.33,0.15,9,393.97
S100043,2025-05-10,South,Technology,Home Office,555.33,0.05,4,-19.27
S100044,2025-01-25,Central,Office Supplies,Home Office,1822.92,0.2,11,113.46
S100045,2025-12-21,South,Technology,Home Office,3039.4,0.05,6,-82.15
S100046,2025-06-12,East,Technology,Consumer,4192.45,0.0,5,1089.95
S100047,2025-11-22,Central,Office Supplies,Home Office,735.04,0.3,6,-36.8
S100048,2025-09-05,East,Furniture,Home Office,722.69,0.05,4,91.67
S100049,2025-10-12,Central,Technology,Home Office,3149.32,0.0,2,563.03
S100050,2025-10-05,East,Technology,Corporate,1477.88,0.05,11,68.65
S100051,2025-03-13,Central,Technology,Home Office,3229.62,0.3,9,-64.64
S100052,2025-05-13,South,Technology,Corporate,4106.5,0.3,9,159.71
S100053,2025-06-20,East,Office Supplies,Consumer,402.82,0.2,11,73.05
S100054,2025-07-01,East,Technology,Home Office,4225.58,0.05,7,426.06
S100055,2025-01-16,East,Technology,Corporate,207.18,0.15,11,16.91
S100056,2025-07-19,Central,Office Supplies,Consumer,4496.15,0.2,11,466.72
S100057,2025-02-26,Central,Office Supplies,Corporate,4878.58,0.1,3,360.99
S100058,2025-09-29,Central,Technology,Consumer,3343.93,0.05,5,675.41
S100059,2025-09-07,West,Furniture,Corporate,4921.59,0.3,2,-729.3
S100060,2025-12-03,West,Furniture,Corporate,4113.52,0.0,8,529.48
S100061,2025-09-29,West,Furniture,Home Office,240.94,0.3,2,46.14
S100062,2025-05-14,South,Technology,Home Office,38.98,0.1,9,5.63
S100063,2025-12-20,South,Office Supplies,Corporate,123.58,0.2,9,7.82
S100064,2025-05-30,West,Office Supplies,Home Office,2270.5,0.1,5,459.36
S100065,2025-04-29,West,Office Supplies,Consumer,3124.45,0.2,7,89.81
S100066,2025-11-27,South,Office Supplies,Home Office,2417.73,0.3,11,55.32
S100067,2025-05-16,Central,Technology,Consumer,3392.11,0.1,9,-37.73
S100068,2025-01-28,East,Furniture,Home Office,2259.02,0.05,5,-46.79
S100069,2025-06-21,Central,Office Supplies,Home Office,231.97,0.0,10,-9.41
S100070,2025-10-18,West,Furniture,Consumer,1146.31,0.3,1,138.31
S100071,2025-03-11,West,Office Supplies,Consumer,4963.27,0.3,3,115.3
S100072,2025-06-18,East,Furniture,Home Office,1742.4,0.15,4,431.35
S100073,2025-02-17,South,Office Supplies,Home Office,1637.33,0.0,5,25.25
S100074,2025-09-08,South,Office Supplies,Home Office,780.9,0.3,8,-46.64
S100075,2025-06-23,West,Furniture,Consumer,4935.98,0.1,9,755.18
S100076,2025-05-01,Central,Office Supplies,Corporate,1167.69,0.05,1,-54.26
S100077,2025-03-24,South,Furniture,Corporate,3241.2,0.1,3,333.62
S100078,2025-07-26,South,Technology,Home Office,229.4,0.3,9,-23.92
S100079,2025-09-02,South,Furniture,Home Office,351.03,0.2,6,-19.99
