OrderID,OrderDate,Region,Category,CustomerSegment,Sales,Discount,Quantity,Profit
100001,2025-04-13,East,Office Supplies,Home Office,1721.62,0.15,6,-75.13
100002,2025-12-15,East,Furniture,Consumer,954.32,0.3,2,18.51
100003,2025-09-28,South,Office Supplies,Consumer,377.08,0.0,8,1.44
100004,2025-04-17,South,Furniture,Consumer,1673.76,0.0,6,405.78
100005,2025-03-13,West,Office Supplies,Home Office,608.95,0.2,8,-46.86
100006,2025-07-08,Central,Furniture,Corporate,1193.68,0.0,6,184.95
100007,2025-01-21,South,Technology,Home Office,666.98,0.1,4,-29.72
100008,2025-04-13,West,Office Supplies,Consumer,1336.3,0.3,8,23.37
100009,2025-05-02,South,Office Supplies,Home Office,1168.62,0.05,4,43.29
100010,2025-08-03,West,Office Supplies,Corporate,846.74,0.1,6,212.44
100011,2025-11-27,West,Furniture,Corporate,2120.37,0.3,5,-276.4
100012,2025-03-29,Central,Office Supplies,Home Office,995.58,0.05,4,173.04
100013,2025-04-10,South,Furniture,Consumer,1003.29,0.05,7,191.2
100014,2025-12-26,West,Office Supplies,Consumer,1187.93,0.15,8,271.94
100015,2025-06-01,East,Technology,Consumer,469.58,0.3,6,82.06
100016,2025-05-11,East,Office Supplies,Home Office,536.99,0.0,1,167.28
100017,2025-05-30,East,Technology,Consumer,1753.43,0.15,7,-10.61
100018,2025-11-05,Central,Furniture,Home Office,2247.93,0.05,4,78.72
100019,2025-09-15,West,Technology,Consumer,1608.1,0.2,2,48.78
100020,2025-12-10,Central,Office Supplies,Corporate,1362.95,0.2,3,112.08
100021,2025-10-21,South,Office Supplies,Corporate,1495.73,0.3,10,-21.18
100022,2025-07-11,South,Furniture,Consumer,1604.35,0.15,4,279.01
100023,2025-10-04,West,Office Supplies,Home Office,1378.66,0.15,7,-133.51
100024,2025-06-10,East,Office Supplies,Consumer,1687.15,0.0,9,-73.34
100025,2025-11-10,West,Furniture,Home Office,984.47,0.15,10,162.38
100026,2025-01-22,West,Furniture,Corporate,1032.18,0.15,11,234.05
100027,2025-09-10,West,Technology,Home Office,1226.02,0.1,6,250.09
100028,2025-08-24,Central,Furniture,Consumer,1028.84,0.15,10,-58.31
100029,2025-12-11,South,Office Supplies,Corporate,3673.27,0.3,5,719.74
100030,2025-02-18,West,Furniture,Home Office,1026.52,0.15,9,95.58
100031,2025-02-28,West,Office Supplies,Home Office,1376.63,0.3,8,171.6
100032,2025-06-19,West,Technology,Corporate,1124.83,0.3,8,-85.05
100033,2025-07-07,Central,Furniture,Consumer,900.15,0.1,8,107.77
100034,2025-09-28,Central,Office Supplies,Corporate,322.99,0.05,8,17.91
100035,2025-07-09,Central,Furniture,Consumer,714.01,0.3,8,150.41
100036,2025-06-24,West,Furniture,Consumer,3032.24,0.05,10,329.86
100037,2025-02-20,East,Furniture,Home Office,1702.38,0.1,10,334.06
100038,2025-12-30,East,Furniture,Consumer,417.96,0.0,7,72.39
100039,2025-02-24,East,Technology,Consumer,546.07,0.15,2,-35.55
100040,2025-09-01,South,Office Supplies,Corporate,1845.36,0.3,2,93.9
100041,2025-11-16,West,Furniture,Corporate,2095.4,0.0,11,314.06
100042,2025-05-11,East,Office Supplies,Consumer,2619.55,0.2,5,388.08
100043,2025-11-03,East,Technology,Home Office,548.86,0.0,6,37.93
100044,2025-05-15,East,Office Supplies,Corporate,1901.21,0.15,9,415.3
100045,2025-01-21,West,Office Supplies,Home Office,1558.87,0.05,1,255.18
100046,2025-11-25,East,Technology,Corporate,590.35,0.15,11,-50.44
100047,2025-06-16,East,Furniture,Corporate,363.67,0.3,7,40.56
100048,2025-10-01,West,Office Supplies,Consumer,302.79,0.15,7,71.33
100049,2025-03-30,South,Office Supplies,Corporate,987.69,0.15,8,150.88
100050,2025-11-12,Central,Furniture,Corporate,1080.7,0.0,1,97.91
100051,2025-01-14,East,Furniture,Home Office,846.82,0.05,10,128.61
100052,2025-08-30,Central,Office Supplies,Corporate,894.12,0.05,4,-2.91
100053,2025-09-22,South,Technology,Corporate,1031.58,0.3,10,74.75
100054,2025-12-12,South,Furniture,Home Office,963.67,0.0,5,130.45
100055,2025-02-22,East,Furniture,Consumer,2247.49,0.0,2,-90.62
100056,2025-12-06,West,Technology,Consumer,607.0,0.0,2,41.94
100057,2025-04-02,South,Office Supplies,Corporate,822.63,0.2,11,-37.76
100058,2025-09-21,Central,Furniture,Corporate,1342.22,0.2,4,37.41
100059,2025-02-04,Central,Office Supplies,Home Office,1042.03,0.15,3,-10.96
100060,2025-07-25,Central,Office Supplies,Consumer,1626.19,0.3,7,258.03
100061,2025-03-22,Central,Office Supplies,Consumer,447.84,0.2,7,63.36
100062,2025-02-19,South,Technology,Consumer,695.97,0.0,2,155.79
100063,2025-12-26,East,Office Supplies,Home Office,1149.89,0.0,5,96.04
100064,2025-01-02,East,Office Supplies,Home Office,979.82,0.0,5,-47.74
100065,2025-02-23,Central,Furniture,Home Office,919.25,0.05,8,13.26
100066,2025-04-16,East,Furniture,Corporate,1447.09,0.3,8,187.34
100067,2025-09-17,Central,Technology,Consumer,1492.89,0.05,11,233.46
100068,2025-11-06,Central,Technology,Corporate,1356.14,0.2,4,112.03
100069,2025-07-10,West,Furniture,Corporate,479.28,0.1,10,9.81
100070,2025-08-06,South,Furniture,Home Office,1949.46,0.1,1,-107.82
100071,2025-02-13,South,Technology,Consumer,407.26,0.0,6,97.91
100072,2025-06-11,Central,Office Supplies,Corporate,518.35,0.05,7,-27.14
100073,2025-07-21,South,Technology,Consumer,1038.83,0.3,1,-133.09
100074,2025-09-27,East,Office Supplies,Corporate,496.55,0.15,8,4.53
100075,2025-12-17,Central,Furniture,Home Office,424.75,0.2,9,40.49
100076,2025-10-31,West,Furniture,Corporate,761.42,0.05,8,228.77
100077,2025-09-28,East,Furniture,Home Office,255.11,0.0,3,-4.2
100078,2025-08-03,West,Office Supplies,Consumer,1158.16,0.0,9,144.85
100079,2025-09-09,West,Technology,Corporate,1774.39,0.1,10,247.2
100080,2025-07-09,South,Office Supplies,Corporate,2328.58,0.3,3,359.88
100081,2025-10-23,South,Technology,Home Office,1296.87,0.3,4,136.38
100082,2025-08-01,Central,Technology,Home Office,935.08,0.0,6,232.71
100083,2025-07-27,South,Technology,Consumer,1480.15,0.0,7,212.13
100084,2025-08-25,West,Furniture,Home Office,1104.8,0.15,8,66.92
100085,2025-12-04,West,Technology,Consumer,1865.39,0.2,7,209.41
100086,2025-02-22,East,Furniture,Corporate,842.0,0.15,3,196.46
100087,2025-10-07,West,Technology,Consumer,1180.77,0.1,11,142.26
100088,2025-08-05,Central,Technology,Consumer,1507.78,0.05,11,237.33
100089,2025-09-09,Central,Furniture,Consumer,1838.51,0.3,2,-45.87
100090,2025-07-07,South,Furniture,Corporate,703.93,0.1,11,96.6
100091,2025-02-10,South,Office Supplies,Corporate,1077.03,0.3,2,88.61
100092,2025-06-06,South,Technology,Home Office,1006.76,0.0,9,230.31
100093,2025-01-15,Central,Furniture,Consumer,2486.98,0.2,7,236.36
100094,2025-10-28,West,Office Supplies,Corporate,498.69,0.0,7,11.52
100095,2025-03-06,South,Office Supplies,Consumer,864.18,0.2,5,85.25
100096,2025-12-11,East,Furniture,Consumer,1197.17,0.2,6,-7.73
100097,2025-11-23,South,Technology,Consumer,862.67,0.2,7,-72.77
100098,2025-01-09,Central,Office Supplies,Corporate,1190.61,0.05,9,284.25
100099,2025-12-10,South,Technology,Consumer,959.98,0.1,10,-56.53
100100,2025-05-09,West,Technology,Consumer,819.07,0.3,4,68.58
100101,2025-05-16,South,Office Supplies,Home Office,1056.31,0.3,6,227.89
100102,2025-03-04,Central,Furniture,Consumer,1400.27,0.05,1,-47.96
100103,2025-05-19,Central,Technology,Home Office,733.54,0.05,7,10.84
100104,2025-03-22,East,Furniture,Consumer,1494.87,0.05,4,321.14
100105,2025-06-12,Central,Office Supplies,Home Office,1072.12,0.15,2,-68.78
100106,2025-10-16,East,Technology,Corporate,647.81,0.15,4,134.81
100107,2025-09-18,West,Furniture,Corporate,1130.04,0.15,8,-112.89
100108,2025-08-19,Central,Furniture,Consumer,857.3,0.05,2,225.14
100109,2025-02-10,South,Technology,Home Office,684.48,0.0,1,-17.3
100110,2025-01-28,West,Furniture,Corporate,986.66,0.15,1,237.92
100111,2025-05-15,South,Furniture,Consumer,1102.34,0.15,7,242.39
100112,2025-07-20,South,Office Supplies,Consumer,1531.64,0.05,7,203.66
100113,2025-11-24,South,Office Supplies,Home Office,1199.11,0.1,4,245.23
100114,2025-09-25,West,Furniture,Home Office,276.71,0.0,5,-6.17
100115,2025-02-02,West,Furniture,Consumer,368.54,0.2,5,-24.57
100116,2025-02-17,Central,Technology,Home Office,830.12,0.2,7,16.58
100117,2025-03-03,South,Office Supplies,Home Office,1073.97,0.3,3,52.47
100118,2025-08-04,East,Technology,Corporate,869.47,0.0,5,235.83
100119,2025-10-20,Central,Furniture,Home Office,1632.31,0.05,7,218.93
100120,2025-04-09,West,Technology,Consumer,1900.65,0.1,11,309.41
100121,2025-06-21,East,Furniture,Home Office,408.92,0.1,7,68.79
100122,2025-12-26,West,Office Supplies,Consumer,1243.79,0.2,9,258.75
100123,2025-08-02,East,Office Supplies,Consumer,574.89,0.1,4,117.32
100124,2025-02-04,Central,Furniture,Home Office,1879.17,0.2,1,460.09
100125,2025-08-15,East,Office Supplies,Home Office,652.63,0.3,5,-93.06
100126,2025-04-11,Central,Furniture,Home Office,2821.07,0.15,11,-65.18
100127,2025-05-11,West,Technology,Corporate,608.86,0.3,4,118.28
100128,2025-09-14,East,Furniture,Corporate,1694.59,0.05,3,383.75
100129,2025-01-05,South,Technology,Home Office,1420.01,0.1,7,22.14
100130,2025-08-06,South,Furniture,Consumer,1380.44,0.05,9,405.58
100131,2025-09-12,West,Office Supplies,Home Office,1446.69,0.15,4,320.96
100132,2025-12-25,East,Furniture,Corporate,758.26,0.0,6,-19.77
