CampaignID,Channel,AudienceSegment,Spend,Impressions,Clicks,Conversions,CampaignMonth,Revenue
M2000,Display,Returning Customer,3281.53,349101,19988,1573,2025-03,275367.49
M2001,Referral,Student,10143.65,29638,28925,143,2025-10,35038.93
M2002,Search,Enterprise,12331.3,21528,5271,680,2025-10,66845.71
M2003,Search,Enterprise,18088.07,425987,22175,2453,2025-04,150253.88
M2004,Email,New Customer,24908.56,25161,12652,791,2025-11,30302.0
M2005,Display,Returning Customer,9350.05,264673,8379,856,2025-04,47012.36
M2006,Referral,New Customer,16925.84,418075,12473,1318,2025-03,111537.96
M2007,Email,Small Business,16842.63,262422,9181,913,2025-05,35128.84
M2008,Social Media,New Customer,4686.31,45326,18091,2845,2025-08,675250.53
M2009,Search,Small Business,16106.93,126923,4511,1299,2025-08,127512.71
M2010,Search,Small Business,21997.51,79220,17793,658,2025-04,154245.32
M2011,Search,Student,13937.79,39562,19171,2379,2025-08,260806.99
M2012,Email,Small Business,12046.44,176494,24010,62,2025-01,9083.63
M2013,Search,Small Business,16223.99,168696,19832,1845,2025-01,292997.46
M2014,Search,Small Business,20190.53,327721,20801,1448,2025-03,166098.07
M2015,Email,Returning Customer,5709.38,409428,26680,263,2025-12,27733.08
M2016,Display,Student,4161.28,289057,17764,730,2025-09,127158.84
M2017,Referral,Returning Customer,16315.77,273971,8538,1378,2025-01,313812.79
M2018,Email,New Customer,961.13,401860,22776,84,2025-01,16234.28
M2019,Email,Returning Customer,20649.28,132544,2037,2270,2025-11,281886.76
M2020,Search,Small Business,7621.64,239341,11793,2423,2025-07,488719.62
M2021,Display,New Customer,2863.4,296953,6615,122,2025-09,20419.91
M2022,Email,Enterprise,19140.36,403289,24576,1151,2025-04,161182.6
M2023,Referral,New Customer,5650.01,176297,28894,121,2025-04,27115.26
M2024,Search,Enterprise,10095.52,250822,10010,491,2025-02,68028.92
M2025,Email,Small Business,10405.3,112622,29646,2105,2025-08,260654.24
M2026,Search,Small Business,20523.77,157889,28781,959,2025-07,167920.83
M2027,Search,Small Business,6684.15,370204,10614,1504,2025-07,184309.48
M2028,Social Media,Small Business,15866.66,422520,6334,798,2025-12,71455.96
M2029,Search,Enterprise,24966.21,84458,14707,491,2025-09,69174.19
M2030,Social Media,New Customer,15023.91,495620,25972,2551,2025-12,602139.19
M2031,Referral,Student,3610.25,292852,25391,2010,2025-09,277180.09
M2032,Social Media,Enterprise,7153.28,494574,22026,2593,2025-02,642320.2
M2033,Referral,Returning Customer,13424.52,367104,14342,245,2025-07,51334.27
M2034,Referral,Student,8125.29,65115,12797,632,2025-12,84806.45
M2035,Search,New Customer,12962.24,31759,28769,1333,2025-09,134550.68
M2036,Email,New Customer,13626.24,455678,16649,2992,2025-02,509408.74
M2037,Referral,Enterprise,18414.74,348165,25132,2459,2025-03,589696.97
M2038,Search,New Customer,15611.4,433028,24866,1550,2025-01,183137.74
M2039,Social Media,Student,17478.78,6714,22248,531,2025-09,38792.97
M2040,Email,Student,5535.83,79862,26408,2872,2025-06,156405.49
M2041,Social Media,Student,10637.97,406093,18863,1768,2025-06,249825.13
M2042,Display,New Customer,20645.73,423779,13282,2341,2025-12,292460.54
M2043,Search,Student,18830.32,139776,6207,1112,2025-12,156452.86
M2044,Email,Small Business,4632.77,494380,1798,2280,2025-02,306380.23
M2045,Display,Small Business,1692.75,77681,5502,2680,2025-11,413242.04
M2046,Social Media,New Customer,16363.88,153502,29285,1269,2025-12,121356.75
M2047,Email,Returning Customer,11157.53,66048,25999,1939,2025-01,255950.72
M2048,Display,New Customer,10320.8,285136,14238,2341,2025-11,283646.52
M2049,Display,Returning Customer,722.97,218416,7241,1077,2025-10,154587.95
M2050,Referral,Small Business,9603.22,302138,3152,1961,2025-04,247449.3
M2051,Email,New Customer,4549.68,144782,7321,1467,2025-08,251259.7
M2052,Social Media,Enterprise,955.37,264190,7155,1688,2025-01,312033.65
M2053,Social Media,Small Business,10032.54,234924,25384,1578,2025-09,181615.15
M2054,Search,Small Business,20637.92,142642,21720,674,2025-05,127827.4
M2055,Referral,Enterprise,22295.13,422932,1408,2953,2025-04,680020.81
M2056,Email,Enterprise,6030.76,430222,265,946,2025-10,187224.23
M2057,Display,Enterprise,6946.83,53380,21539,2235,2025-10,445612.44
M2058,Search,Student,2554.36,148122,4053,2334,2025-05,443280.92
M2059,Search,Small Business,22741.54,131004,18484,2141,2025-02,243112.45
M2060,Referral,Enterprise,1723.82,139131,13438,623,2025-09,149424.95
M2061,Display,Enterprise,23438.17,57544,1157,2951,2025-11,201267.75
M2062,Email,Small Business,16072.03,194506,19663,1862,2025-11,169373.27
