CampaignID,Channel,CampaignDate,AudienceSegment,Spend,Impressions,Clicks,Conversions,Revenue
200001,Email,2025-01-23,Returning,11843.45,326243,4291,1937,240417.51
200002,Display,2025-12-17,New Customers,10152.7,150603,22174,90,11863.99
200003,Affiliate,2025-04-06,Dormant,8162.66,229105,20417,1327,191268.37
200004,Display,2025-12-12,Returning,3414.62,237958,19129,1850,243451.12
200005,Display,2025-09-19,Dormant,19470.94,273732,18069,667,61527.35
200006,Social Media,2025-06-10,Dormant,13017.4,356211,10024,1989,429234.2
200007,Affiliate,2025-01-08,New Customers,4288.01,293976,13790,1603,239594.14
200008,Email,2025-11-15,Dormant,16811.46,101063,6222,1642,162616.13
200009,Search,2025-05-04,New Customers,16537.55,150910,6954,716,130844.98
200010,Affiliate,2025-05-12,Returning,15183.12,427847,26598,889,58049.12
200011,Display,2025-02-04,Dormant,2755.9,444003,27674,1993,435703.55
200012,Display,2025-04-03,High Value,849.16,191918,19318,1707,308844.13
200013,Affiliate,2025-11-08,High Value,14310.38,376529,23375,1404,74458.91
200014,Social Media,2025-05-19,High Value,4487.82,323976,28789,1090,209203.85
200015,Email,2025-10-21,Returning,16894.45,120378,17153,771,63865.8
200016,Search,2025-08-09,Dormant,13618.18,410086,10322,1915,292991.0
200017,Social Media,2025-03-27,Dormant,7800.93,367745,13463,871,57094.82
200018,Email,2025-04-28,Dormant,10006.44,60007,12891,698,116209.74
200019,Affiliate,2025-06-11,Dormant,10303.4,81179,28232,237,41502.45
200020,Social Media,2025-04-20,High Value,7889.01,311524,939,1362,262242.31
200021,Search,2025-11-27,Returning,3997.76,270508,29785,134,16782.62
200022,Email,2025-04-02,Returning,19889.72,171008,23552,253,34759.7
200023,Affiliate,2025-07-19,Returning,15109.76,414273,21583,1031,77093.85
200024,Email,2025-06-01,Dormant,3550.1,392045,18528,1943,253374.73
200025,Search,2025-03-15,Dormant,1174.09,19848,25332,1998,266507.8
200026,Affiliate,2025-11-15,New Customers,7214.45,439741,15094,838,154785.25
200027,Display,2025-04-19,Dormant,11311.74,183172,24859,305,50806.3
200028,Display,2025-08-16,Dormant,18789.83,300886,3185,1426,234125.88
200029,Social Media,2025-08-30,Returning,3081.77,330089,6003,1751,70891.54
200030,Affiliate,2025-10-31,New Customers,9084.4,39902,26402,1777,241805.16
200031,Affiliate,2025-12-06,New Customers,3983.12,114020,10930,779,170324.15
200032,Social Media,2025-09-04,Dormant,1859.79,447993,12743,1031,179558.87
200033,Email,2025-01-02,Returning,12226.05,134932,3701,1925,364674.84
200034,Social Media,2025-04-21,Dormant,2524.13,451721,26699,1464,184920.72
200035,Affiliate,2025-09-20,New Customers,14543.7,68015,1480,1601,302459.54
200036,Display,2025-04-15,New Customers,11293.5,448898,3906,1435,267106.43
200037,Email,2025-08-06,Returning,5034.16,291135,5460,401,53354.05
200038,Affiliate,2025-10-02,Returning,15992.61,147660,7819,577,80868.13
200039,Search,2025-01-21,High Value,14142.44,121757,12400,1962,87558.45
200040,Display,2025-11-10,Dormant,12712.59,267202,26028,1536,296172.12
200041,Display,2025-10-19,Dormant,4670.16,88214,26449,432,25823.38
200042,Social Media,2025-10-27,Dormant,14277.23,457728,27555,1038,94090.77
200043,Affiliate,2025-11-16,New Customers,11042.2,321108,7188,743,128339.21
200044,Affiliate,2025-01-27,Returning,10918.79,80894,16089,1955,177289.09
200045,Social Media,2025-05-16,Dormant,2830.73,396325,17993,1445,185714.62
200046,Affiliate,2025-12-12,Returning,3135.13,480800,1962,924,58686.08
200047,Affiliate,2025-05-07,Returning,1129.86,96476,251,785,69813.03
200048,Display,2025-10-06,Dormant,5286.99,166616,1607,742,126766.51
200049,Email,2025-03-14,Returning,10121.41,452459,6526,1273,143060.6
200050,Search,2025-01-31,Returning,7500.28,435502,7566,23,3201.15
200051,Search,2025-01-09,New Customers,14401.47,95145,2797,728,73566.59
200052,Email,2025-07-18,Dormant,8446.39,148848,17250,1090,225812.34
200053,Search,2025-05-24,Dormant,2318.22,326121,2519,711,137507.63
200054,Email,2025-07-21,Dormant,14629.99,432184,22560,1623,90657.3
200055,Affiliate,2025-11-26,New Customers,4090.97,379708,20345,947,204430.06
200056,Social Media,2025-06-23,Returning,6642.98,342905,14928,1571,290219.56
200057,Affiliate,2025-08-05,Dormant,10262.06,57773,7577,1431,92011.57
200058,Social Media,2025-08-21,High Value,11306.2,185922,26089,46,1964.23
200059,Email,2025-10-13,High Value,6251.83,242045,19861,1247,249660.92
200060,Affiliate,2025-07-30,New Customers,9483.89,80237,27710,271,47475.16
200061,Email,2025-06-08,Dormant,1800.72,72133,25487,243,20892.86
200062,Display,2025-01-30,Returning,3621.54,43553,13381,1324,279523.77
200063,Email,2025-10-17,New Customers,12181.27,429513,25897,1871,379133.06
200064,Affiliate,2025-08-08,Returning,589.29,183017,29034,1493,111149.32
200065,Social Media,2025-10-02,Returning,4087.16,101357,1625,1894,206156.73
200066,Display,2025-01-06,High Value,12752.78,41584,1670,374,16366.4
200067,Affiliate,2025-05-25,Dormant,5028.97,298373,9409,717,65982.88
200068,Affiliate,2025-04-11,Returning,16449.59,89157,27566,427,54124.6
200069,Affiliate,2025-04-01,Returning,8154.24,411115,11427,1518,70943.18
200070,Display,2025-12-29,Returning,14426.29,361201,25441,1371,133403.31
200071,Affiliate,2025-06-13,Returning,17758.87,265915,20609,908,57114.12
200072,Social Media,2025-01-01,New Customers,9240.14,454725,18973,1873,385564.4
200073,Affiliate,2025-05-24,Returning,13662.92,476916,8861,678,127773.58
200074,Search,2025-02-16,High Value,16946.29,328907,22008,942,166520.69
200075,Email,2025-01-23,New Customers,5303.49,148178,16012,767,136743.2
200076,Search,2025-08-12,High Value,17761.82,292657,8145,725,27301.31
200077,Social Media,2025-07-14,Returning,17275.94,472084,2030,692,101341.27
200078,Social Media,2025-03-26,Dormant,1678.43,449006,17577,1648,237821.05
200079,Email,2025-12-10,High Value,9685.46,341803,26422,1130,247049.21
200080,Social Media,2025-03-08,Dormant,2667.45,229708,14588,1939,294767.91
200081,Social Media,2025-10-26,New Customers,17780.01,132050,9091,1315,204293.92
200082,Affiliate,2025-04-08,High Value,5172.89,452770,24574,51,5377.9
200083,Email,2025-06-21,Returning,7734.05,459914,23825,52,6633.65
200084,Search,2025-08-20,Returning,18790.47,324866,5744,391,42277.11
200085,Affiliate,2025-01-26,Dormant,11460.38,423220,26132,1329,270610.58
200086,Affiliate,2025-07-14,Dormant,18577.91,380421,12349,1206,87470.96
200087,Search,2025-06-09,High Value,9500.95,453475,4566,1319,82864.75
200088,Social Media,2025-11-16,Dormant,19664.18,44202,29813,40,8777.16
200089,Display,2025-02-12,Returning,19127.57,254508,23093,1993,412954.99
200090,Display,2025-04-22,Dormant,892.31,390933,1612,414,59911.27
200091,Social Media,2025-08-23,New Customers,8420.18,104059,20065,1758,312865.28
200092,Affiliate,2025-11-14,New Customers,19024.08,407276,12838,131,7274.75
200093,Search,2025-08-29,New Customers,16377.99,312070,2109,568,100618.29
200094,Display,2025-04-28,Dormant,4633.95,476613,7438,1308,158269.56
200095,Affiliate,2025-05-17,High Value,17755.86,13912,29537,1290,242518.62
200096,Display,2025-02-17,High Value,4430.87,205094,12179,1867,243426.3
200097,Search,2025-08-29,Dormant,18755.6,193207,3890,1336,226384.03
200098,Affiliate,2025-02-23,Dormant,2119.4,383355,2505,32,3129.23
200099,Email,2025-11-14,New Customers,18953.48,126637,14333,49,8348.54
200100,Affiliate,2025-05-07,Dormant,2105.47,491070,23500,594,50667.2
200101,Email,2025-05-01,High Value,4943.47,191871,17444,1579,334050.92
200102,Social Media,2025-12-20,New Customers,11540.23,231308,9265,1497,238064.28
200103,Search,2025-08-23,Dormant,4166.65,106777,6166,655,80903.14
200104,Display,2025-02-25,Returning,8090.25,114393,12742,1744,256556.74
