LoanID,ApplicantAge,AnnualIncome,LoanAmount,CreditScore,DebtToIncome,EmploymentLengthYears,LoanPurpose,DefaultFlag
L400000,60,39608.19,33518.46,558,0.203,5,Debt Consolidation,False
L400001,56,80687.63,1437.69,572,0.286,21,Home Improvement,True
L400002,74,55000.53,46877.94,526,0.266,2,Education,False
L400003,36,101519.55,49884.65,824,0.261,23,Debt Consolidation,False
L400004,41,120519.19,4496.56,601,0.361,14,Small Business,False
L400005,59,110642.45,54682.68,664,0.06,22,Debt Consolidation,False
L400006,34,73882.11,25274.43,699,0.416,11,Home Improvement,False
L400007,24,70434.21,14951.38,795,0.119,7,Small Business,False
L400008,60,68263.44,3293.3,758,0.202,7,Small Business,False
L400009,60,37095.84,58871.78,830,0.394,2,Medical,False
L400010,32,100323.76,40191.38,812,0.618,23,Medical,False
L400011,26,18000.0,37366.98,638,0.531,12,Home Improvement,False
L400012,25,58789.09,9655.25,589,0.218,31,Small Business,False
L400013,58,123166.56,48367.13,562,0.645,31,Small Business,True
L400014,24,19231.62,35786.74,564,0.082,10,Auto,True
L400015,44,86815.47,21990.46,777,0.063,22,Home Improvement,False
L400016,22,95761.05,37926.14,532,0.167,0,Education,True
L400017,29,53170.43,9200.6,715,0.267,12,Auto,False
L400018,68,37956.02,26063.48,738,0.574,12,Small Business,True
L400019,22,18000.0,10276.93,766,0.555,13,Debt Consolidation,False
L400020,69,56316.83,7771.94,531,0.375,5,Auto,True
L400021,66,46206.06,59660.45,646,0.303,20,Home Improvement,False
L400022,56,25086.73,17857.11,809,0.096,1,Small Business,False
L400023,68,103067.2,1666.26,522,0.204,33,Home Improvement,True
L400024,63,43574.92,13896.84,802,0.36,30,Debt Consolidation,False
L400025,40,85842.25,22611.07,782,0.154,10,Auto,False
L400026,45,43538.42,1778.87,721,0.434,1,Education,False
L400027,56,88388.69,38049.16,829,0.536,14,Medical,True
L400028,65,77917.04,31797.76,538,0.128,12,Auto,False
L400029,67,104452.71,21104.69,808,0.391,34,Education,False
L400030,36,20177.29,53406.51,545,0.31,34,Small Business,True
L400031,25,46824.08,15338.16,771,0.341,19,Auto,False
L400032,48,100796.15,6395.43,739,0.095,24,Small Business,False
L400033,48,50513.01,7118.32,624,0.453,17,Small Business,True
L400034,68,58785.74,47730.01,662,0.446,7,Home Improvement,False
L400035,43,88776.1,21113.81,611,0.239,23,Medical,True
L400036,38,61743.61,54246.35,596,0.309,18,Debt Consolidation,True
L400037,32,74824.49,5766.3,626,0.564,26,Medical,False
L400038,25,67430.29,32874.72,714,0.306,7,Small Business,False
L400039,34,60494.56,18166.07,725,0.635,13,Auto,False
L400040,40,27232.18,56535.06,671,0.607,2,Small Business,False
L400041,70,56356.38,29141.14,763,0.624,29,Small Business,False
L400042,62,88618.54,17054.48,777,0.054,14,Home Improvement,False
L400043,58,61091.54,2886.98,665,0.575,8,Debt Consolidation,False
L400044,22,87063.85,29840.33,547,0.394,33,Auto,True
L400045,54,60833.88,10144.8,673,0.086,2,Small Business,False
L400046,25,86808.63,5412.99,741,0.403,16,Auto,False
L400047,55,51569.74,9878.21,714,0.518,18,Home Improvement,False
L400048,42,33986.45,31840.49,621,0.323,17,Home Improvement,False
L400049,43,99060.08,15548.67,594,0.517,20,Small Business,True
L400050,41,36128.35,25948.38,825,0.558,22,Medical,True
L400051,63,49127.29,31874.95,839,0.321,10,Education,False
L400052,22,71609.79,3893.61,585,0.382,27,Medical,True
L400053,61,18000.0,33833.74,611,0.496,9,Small Business,True
L400054,36,52945.37,27513.94,558,0.05,18,Debt Consolidation,False
L400055,44,50226.17,33802.42,843,0.539,16,Education,False
L400056,57,62603.56,42259.88,598,0.111,8,Medical,False
L400057,28,63628.71,42920.7,554,0.461,17,Home Improvement,False
L400058,29,56112.5,42056.7,560,0.224,33,Medical,False
L400059,26,65707.71,5457.19,708,0.622,27,Auto,False
L400060,33,117999.01,54378.71,601,0.639,4,Education,True
L400061,63,146361.35,48804.06,801,0.144,22,Auto,False
L400062,27,87362.55,52859.8,800,0.402,9,Home Improvement,True
L400063,58,60868.18,11119.0,555,0.063,29,Education,False
L400064,48,42364.7,35613.02,801,0.622,24,Debt Consolidation,False
L400065,45,47635.06,56025.12,718,0.631,24,Home Improvement,False
L400066,64,63662.21,56038.27,563,0.321,30,Education,True
L400067,28,107468.44,22920.63,559,0.249,7,Medical,True
L400068,23,38325.71,51315.14,557,0.427,27,Education,True
L400069,62,82669.79,28289.02,588,0.515,29,Debt Consolidation,False
L400070,28,54461.97,5852.08,613,0.609,34,Medical,True
L400071,40,101920.56,58422.96,563,0.302,8,Medical,False
L400072,58,59111.92,19215.69,744,0.293,20,Small Business,False
L400073,62,46842.04,18003.46,641,0.355,20,Small Business,False
L400074,58,48961.97,54093.07,667,0.171,13,Medical,False
L400075,58,126659.44,44879.7,605,0.057,8,Education,False
L400076,41,69529.21,22455.58,722,0.571,17,Medical,False
L400077,71,105946.06,48104.69,825,0.316,18,Home Improvement,False
L400078,33,82144.58,2185.86,800,0.464,9,Home Improvement,False
L400079,24,90395.54,35291.79,842,0.516,13,Debt Consolidation,False
L400080,66,58975.63,16971.06,677,0.286,22,Debt Consolidation,False
L400081,55,67346.75,33703.06,611,0.282,18,Home Improvement,False
L400082,49,37046.84,20454.8,539,0.637,32,Medical,False
L400083,63,38720.12,43497.05,778,0.54,17,Debt Consolidation,False
L400084,60,63324.28,38490.76,628,0.502,24,Medical,True
L400085,36,60006.04,43419.6,776,0.134,14,Small Business,False
L400086,22,66217.19,42859.38,773,0.193,13,Auto,False
L400087,60,95531.75,45120.27,630,0.623,27,Auto,False
L400088,59,130185.46,59045.29,814,0.317,5,Home Improvement,False
L400089,37,39116.45,27143.7,594,0.076,27,Home Improvement,False
L400090,39,82930.69,45614.14,835,0.551,27,Small Business,False
L400091,55,51921.91,14066.83,774,0.072,14,Home Improvement,False
L400092,24,18000.0,57750.44,682,0.27,19,Debt Consolidation,False
L400093,57,146291.29,51196.54,622,0.271,29,Education,False
L400094,30,68433.34,6705.93,644,0.239,31,Small Business,False
L400095,69,58584.79,48247.44,521,0.507,12,Debt Consolidation,False
L400096,28,99249.4,35465.46,767,0.14,34,Auto,False
L400097,72,147701.66,24691.05,629,0.141,20,Small Business,False
L400098,45,80534.04,7531.07,701,0.322,5,Debt Consolidation,False
L400099,74,151986.42,37806.28,742,0.626,3,Education,False
L400100,63,70292.75,31864.59,806,0.083,5,Small Business,False
L400101,58,103456.84,50300.5,616,0.535,29,Auto,False
L400102,31,45016.97,24398.69,767,0.628,23,Debt Consolidation,False
L400103,52,45409.36,31730.54,620,0.055,6,Debt Consolidation,False
L400104,32,80874.31,26433.49,539,0.183,9,Medical,False
L400105,57,113432.6,5702.03,576,0.084,21,Debt Consolidation,False
L400106,41,55163.43,28259.89,546,0.378,13,Debt Consolidation,True
L400107,61,101046.62,57487.5,596,0.622,32,Debt Consolidation,True
L400108,37,83393.37,1975.29,846,0.552,13,Education,True
L400109,65,62568.66,44359.25,757,0.417,11,Education,False
L400110,47,94647.99,25977.84,711,0.616,3,Education,False
L400111,36,46209.22,11502.46,755,0.327,7,Education,False
L400112,74,104541.89,41226.53,721,0.64,16,Medical,False
L400113,59,64357.4,22763.71,806,0.172,18,Medical,False
L400114,32,95031.47,59505.49,720,0.529,22,Home Improvement,False
L400115,31,78620.57,31526.43,680,0.092,29,Education,False
L400116,65,74835.27,25381.51,537,0.052,10,Home Improvement,False
L400117,26,18000.0,57804.0,678,0.349,31,Small Business,False
L400118,27,53819.26,17823.86,638,0.524,19,Education,False
L400119,63,40136.86,58237.08,676,0.078,7,Auto,False
L400120,28,89641.67,46698.18,849,0.526,29,Small Business,False
L400121,52,64595.44,33259.6,620,0.61,34,Debt Consolidation,False
L400122,69,18487.92,22905.8,811,0.074,21,Medical,False
L400123,46,90089.32,5041.44,837,0.098,20,Medical,False
L400124,73,66694.46,56608.13,669,0.542,15,Education,False
L400125,42,70103.1,38602.86,546,0.145,22,Debt Consolidation,False
L400126,61,86726.0,31985.38,585,0.146,31,Education,False
L400127,34,80090.03,39552.43,760,0.366,8,Medical,False
L400128,40,136424.77,53374.01,797,0.414,24,Education,False
L400129,52,101143.97,18589.66,677,0.224,12,Small Business,False
