LoanID,CustomerAge,AnnualIncome,LoanAmount,CreditScore,EmploymentYears,DebtToIncome,LoanPurpose,Defaulted
400001,33,154052,42178,537,32,0.35,Education,0
400002,40,99481,15080,715,8,0.27,Business,0
400003,37,150774,26157,580,33,0.29,Home Improvement,0
400004,47,80569,59487,762,21,0.15,Education,1
400005,71,94740,52302,621,16,0.08,Education,0
400006,24,176397,5667,808,13,0.42,Business,0
400007,51,49825,3232,615,16,0.29,Debt Consolidation,0
400008,46,50620,58951,633,10,0.35,Home Improvement,0
400009,57,43593,17899,786,24,0.42,Auto,0
400010,21,164305,5584,840,19,0.38,Medical,0
400011,32,86495,5031,670,8,0.3,Home Improvement,0
400012,62,82223,27961,521,30,0.5,Auto,1
400013,65,158691,23773,675,6,0.18,Business,0
400014,71,57098,10183,759,10,0.1,Home Improvement,0
400015,36,81167,3050,609,31,0.5,Debt Consolidation,1
400016,54,159540,27581,838,7,0.13,Business,0
400017,44,61815,59766,797,13,0.63,Home Improvement,0
400018,61,77394,45597,641,10,0.23,Auto,0
400019,44,124631,13391,571,34,0.39,Home Improvement,0
400020,57,177940,53415,652,8,0.36,Debt Consolidation,0
400021,63,151172,54488,764,5,0.3,Auto,0
400022,24,163316,55269,717,30,0.41,Debt Consolidation,0
400023,71,35947,18260,558,25,0.58,Debt Consolidation,0
400024,28,130901,42098,682,9,0.43,Business,0
400025,36,149889,25780,827,22,0.07,Auto,0
400026,69,50629,39488,661,10,0.32,Debt Consolidation,0
400027,63,66909,46206,601,27,0.07,Debt Consolidation,0
400028,29,84052,52265,629,2,0.57,Medical,0
400029,61,131053,33828,533,4,0.55,Education,0
400030,44,81357,21395,559,20,0.33,Home Improvement,1
400031,59,128736,47136,522,7,0.64,Debt Consolidation,1
400032,21,100318,41585,826,13,0.48,Debt Consolidation,0
400033,23,47716,43436,789,17,0.23,Education,0
400034,29,153306,9378,579,15,0.06,Education,1
400035,68,49849,7484,671,1,0.49,Business,0
400036,66,45080,18609,779,1,0.16,Education,0
400037,73,37986,49551,803,22,0.64,Debt Consolidation,0
400038,67,111806,8221,759,30,0.4,Auto,0
400039,56,124100,9416,721,0,0.27,Medical,0
400040,67,120284,47915,835,32,0.12,Auto,0
400041,31,131858,11321,603,30,0.46,Home Improvement,1
400042,69,99408,31988,631,1,0.12,Auto,0
400043,61,29455,20107,847,14,0.32,Auto,0
400044,65,128482,18442,839,26,0.61,Education,1
400045,23,56224,56098,761,16,0.53,Business,0
400046,54,142439,30285,584,7,0.47,Auto,1
400047,55,105858,41595,735,26,0.16,Education,0
400048,36,83297,34957,676,21,0.36,Home Improvement,0
400049,34,84104,30784,526,23,0.63,Business,1
400050,56,159791,44057,532,13,0.39,Auto,0
400051,23,123356,4723,658,14,0.1,Home Improvement,0
400052,68,26142,5772,662,29,0.36,Debt Consolidation,0
400053,70,135056,12319,774,30,0.16,Business,0
400054,26,98607,59614,818,22,0.08,Business,0
400055,36,113639,11809,737,14,0.59,Business,1
400056,72,47869,22997,693,12,0.41,Medical,0
400057,60,142494,4542,716,20,0.15,Home Improvement,0
400058,52,144348,22009,793,10,0.17,Business,1
400059,54,61778,13710,840,30,0.15,Home Improvement,0
400060,52,110535,26175,642,4,0.47,Auto,1
400061,53,57252,58682,650,0,0.45,Medical,0
400062,33,77827,33703,633,0,0.11,Home Improvement,0
400063,48,85347,31782,711,34,0.33,Education,0
400064,38,135685,43564,732,30,0.21,Debt Consolidation,0
400065,73,47853,47422,548,34,0.14,Medical,1
400066,57,110865,44734,539,34,0.3,Home Improvement,0
400067,44,157047,45478,641,10,0.38,Business,0
400068,21,157826,48370,718,8,0.06,Business,0
400069,68,150385,15817,728,31,0.32,Auto,0
400070,49,47742,18922,663,10,0.4,Home Improvement,0
400071,47,138171,16753,608,30,0.42,Business,0
400072,34,150209,36584,798,17,0.18,Education,0
400073,44,113674,8468,690,23,0.13,Business,0
400074,35,119738,42276,555,2,0.61,Auto,1
400075,30,160313,49434,735,28,0.59,Education,1
400076,44,44055,7751,786,25,0.18,Home Improvement,1
400077,36,151692,24994,521,19,0.49,Home Improvement,1
400078,51,43126,39608,747,15,0.37,Debt Consolidation,1
400079,49,149640,55199,743,18,0.5,Medical,1
400080,29,94911,33621,605,31,0.52,Business,0
400081,56,110594,22072,694,6,0.33,Medical,0
400082,31,78536,36862,660,28,0.6,Auto,0
400083,39,174189,37639,706,13,0.37,Business,0
400084,36,133990,14965,777,12,0.12,Medical,0
400085,29,135856,47977,534,0,0.51,Medical,0
400086,64,41219,34741,725,1,0.53,Auto,0
400087,73,41076,20203,797,12,0.59,Education,1
400088,47,53705,54693,645,24,0.6,Education,0
400089,54,158023,28438,720,21,0.43,Business,0
400090,31,60282,53840,544,8,0.12,Home Improvement,0
400091,39,140800,58495,731,7,0.36,Education,0
400092,28,70681,16540,839,7,0.3,Auto,0
400093,63,160468,45472,769,24,0.53,Debt Consolidation,1
400094,68,57641,39736,790,15,0.18,Debt Consolidation,1
400095,40,40808,51492,757,29,0.13,Business,0
400096,61,26718,57120,577,32,0.27,Business,0
400097,31,178714,44579,800,22,0.11,Medical,0
400098,33,67151,33632,762,6,0.23,Business,0
400099,37,121681,5226,648,16,0.47,Home Improvement,0
400100,63,25683,7082,653,29,0.41,Medical,1
