MachineID,ReadingDate,Temperature,Vibration,Pressure,RuntimeHours,MaintenanceDaysAgo,ProductLine,FailureFlag
MC-008,2025-01-13 07:00,68.53,6.63,92.87,854.6,78,Line B,False
MC-014,2025-02-08 15:00,78.94,2.69,94.11,4141.6,142,Line C,False
MC-100,2025-01-29 11:00,65.18,3.17,85.82,2643.0,93,Line B,False
MC-074,2025-05-07 18:00,74.19,4.83,107.37,1935.4,218,Line A,False
MC-039,2025-04-09 20:00,72.71,3.06,86.19,665.4,118,Line D,False
MC-048,2025-05-01 00:00,65.77,3.31,98.96,25.1,197,Line B,False
MC-054,2025-05-25 02:00,76.88,4.0,117.2,1088.8,85,Line A,False
MC-091,2025-06-09 11:00,78.7,2.46,109.19,454.2,153,Line A,False
MC-080,2025-06-08 15:00,75.75,1.98,93.99,4320.8,143,Line A,False
MC-056,2025-03-24 09:00,91.64,2.96,125.67,1350.3,214,Line D,False
MC-144,2025-06-01 14:00,82.33,2.19,94.0,2685.2,111,Line B,True
MC-060,2025-04-25 13:00,90.73,0.59,94.93,1291.1,99,Line A,False
MC-114,2025-03-29 05:00,68.1,1.17,125.87,2345.4,101,Line B,False
MC-009,2025-05-21 21:00,64.25,2.13,132.93,2010.3,119,Line B,False
MC-010,2025-02-19 13:00,77.9,5.17,81.27,3636.5,91,Line C,True
MC-016,2025-02-13 10:00,52.08,3.63,143.7,1702.1,24,Line A,False
MC-137,2025-01-08 06:00,50.06,3.89,101.37,2025.0,111,Line A,False
MC-076,2025-06-13 08:00,80.62,4.09,105.09,1059.5,219,Line B,False
MC-102,2025-05-26 01:00,70.45,3.17,111.4,1004.0,233,Line C,False
MC-117,2025-02-20 12:00,62.77,1.9,94.68,1588.5,184,Line C,False
MC-032,2025-05-05 22:00,69.98,1.98,80.79,4823.1,30,Line B,False
MC-112,2025-01-02 15:00,96.63,0.91,121.3,3713.7,125,Line B,True
MC-110,2025-01-03 05:00,73.24,3.93,68.07,1327.0,136,Line B,True
MC-042,2025-01-23 09:00,64.48,1.18,94.62,4194.0,84,Line B,False
MC-066,2025-06-17 06:00,53.15,0.31,95.13,2137.8,81,Line D,False
MC-130,2025-04-10 03:00,61.0,1.5,104.6,3697.4,52,Line B,False
MC-083,2025-01-26 02:00,79.64,3.51,115.35,2248.3,14,Line C,False
MC-078,2025-02-23 01:00,64.38,3.09,121.55,1145.9,237,Line D,False
MC-136,2025-03-15 22:00,70.89,2.46,79.87,3685.3,194,Line B,False
MC-133,2025-02-27 15:00,72.54,1.95,123.86,3724.3,72,Line B,False
MC-145,2025-03-01 17:00,66.52,4.16,75.21,3292.9,35,Line A,False
MC-019,2025-01-15 05:00,65.56,3.59,90.57,3684.9,47,Line B,False
MC-084,2025-05-09 04:00,57.35,1.39,150.09,3642.3,129,Line C,False
