CustomerID,TenureMonths,ContractType,MonthlyCharges,TotalCharges,InternetService,TechSupport,PaymentMethod,SeniorCitizen,ChurnFlag
C700000,14,Two year,132.33,1876.32,DSL,No,Credit Card,0,True
C700001,16,One year,84.68,1377.07,None,No,Mailed Check,1,True
C700002,69,Month-to-month,133.39,10429.75,Fiber,No,Electronic Check,0,True
C700003,37,Month-to-month,90.79,3113.28,DSL,No,Bank Transfer,0,False
C700004,62,Month-to-month,32.39,2072.03,Fiber,Yes,Electronic Check,0,False
C700005,10,Two year,130.69,1432.15,Fiber,No,Electronic Check,0,False
C700006,32,Month-to-month,30.24,917.06,Fiber,No,Mailed Check,1,False
C700007,31,One year,83.58,2646.22,Fiber,Yes,Bank Transfer,0,False
C700008,51,Month-to-month,99.36,5346.82,Fiber,Yes,Mailed Check,0,True
C700009,9,Month-to-month,80.1,824.77,Fiber,Yes,Credit Card,0,False
C700010,35,One year,38.7,1257.01,DSL,Yes,Credit Card,0,False
C700011,21,One year,90.27,1900.77,DSL,Yes,Credit Card,1,False
C700012,47,Month-to-month,76.95,3140.35,Fiber,Yes,Bank Transfer,0,False
C700013,5,Two year,142.48,620.52,Fiber,No,Bank Transfer,0,True
C700014,53,One year,119.45,7198.69,Fiber,No,Credit Card,0,False
C700015,49,One year,99.88,5622.78,Fiber,Yes,Bank Transfer,0,False
C700016,57,Month-to-month,149.54,9057.5,None,Yes,Credit Card,0,True
C700017,8,Month-to-month,36.8,315.84,DSL,No,Bank Transfer,0,False
C700018,33,Month-to-month,23.96,676.59,Fiber,No,Bank Transfer,0,True
C700019,52,One year,126.2,7543.0,Fiber,Yes,Bank Transfer,0,False
C700020,54,One year,124.27,6903.73,DSL,No,Mailed Check,0,False
C700021,5,One year,82.12,447.55,DSL,No,Mailed Check,0,False
C700022,51,Month-to-month,81.41,4459.57,None,Yes,Bank Transfer,0,True
C700023,51,Two year,63.25,2821.81,DSL,Yes,Credit Card,0,False
C700024,16,Month-to-month,39.3,549.57,Fiber,Yes,Bank Transfer,1,True
C700025,14,One year,30.41,477.93,None,No,Electronic Check,0,False
C700026,62,Month-to-month,143.29,8424.87,DSL,No,Credit Card,0,False
C700027,15,Month-to-month,52.7,824.85,DSL,Yes,Credit Card,0,False
C700028,63,Month-to-month,53.9,3150.06,Fiber,No,Credit Card,0,False
C700029,34,One year,77.3,2546.91,DSL,No,Electronic Check,0,False
C700030,52,Two year,110.45,5149.07,DSL,No,Credit Card,0,True
C700031,44,Month-to-month,102.68,4814.31,DSL,Yes,Bank Transfer,1,True
C700032,11,Month-to-month,72.88,711.51,DSL,Yes,Electronic Check,0,False
C700033,14,One year,112.69,1469.39,Fiber,No,Mailed Check,1,False
C700034,6,One year,21.01,129.18,DSL,No,Bank Transfer,0,False
C700035,65,One year,126.33,8072.9,None,No,Bank Transfer,0,True
C700036,55,Month-to-month,103.26,6185.79,Fiber,No,Mailed Check,0,True
C700037,25,Month-to-month,129.66,3217.16,DSL,No,Electronic Check,1,True
C700038,0,Two year,69.71,0.0,Fiber,Yes,Mailed Check,0,False
C700039,24,One year,124.1,2743.71,DSL,No,Mailed Check,0,True
C700040,65,Month-to-month,27.36,2033.36,DSL,No,Mailed Check,0,False
C700041,47,Month-to-month,56.25,2995.54,DSL,No,Mailed Check,0,False
C700042,57,Month-to-month,75.83,3796.18,Fiber,Yes,Mailed Check,0,False
C700043,18,Month-to-month,130.41,2506.71,DSL,Yes,Bank Transfer,1,True
C700044,45,Month-to-month,76.87,3661.03,DSL,Yes,Electronic Check,0,True
C700045,52,Two year,64.76,2903.16,DSL,No,Credit Card,0,False
C700046,3,One year,132.99,416.72,Fiber,No,Electronic Check,1,True
C700047,43,Month-to-month,69.39,2913.27,DSL,Yes,Mailed Check,0,True
C700048,48,Month-to-month,133.38,7122.24,DSL,No,Mailed Check,0,False
C700049,47,Month-to-month,143.03,6610.91,Fiber,Yes,Bank Transfer,1,False
C700050,35,Month-to-month,51.24,1790.35,Fiber,No,Bank Transfer,0,False
C700051,44,Two year,101.71,4232.24,DSL,No,Electronic Check,1,False
C700052,64,Month-to-month,119.85,7445.22,DSL,Yes,Mailed Check,0,True
C700053,26,Month-to-month,92.97,2342.77,Fiber,No,Credit Card,0,False
C700054,69,Month-to-month,101.85,6484.21,DSL,No,Electronic Check,0,True
C700055,19,Month-to-month,121.24,2404.47,DSL,No,Credit Card,0,False
C700056,59,One year,131.78,8221.93,None,No,Bank Transfer,0,True
C700057,5,Month-to-month,111.63,547.08,DSL,Yes,Credit Card,0,True
C700058,23,One year,94.7,2158.87,Fiber,No,Bank Transfer,0,True
C700059,38,Month-to-month,54.57,2312.94,Fiber,No,Bank Transfer,0,False
C700060,44,Two year,138.29,5177.51,DSL,No,Credit Card,0,True
C700061,36,Two year,94.95,3356.32,Fiber,No,Mailed Check,0,False
C700062,4,Two year,77.38,326.52,DSL,No,Bank Transfer,0,False
C700063,15,Two year,80.69,1039.8,Fiber,Yes,Electronic Check,0,False
C700064,13,One year,57.27,719.91,Fiber,No,Mailed Check,1,False
C700065,66,Month-to-month,85.12,4914.61,Fiber,No,Mailed Check,1,True
C700066,62,Two year,83.31,4912.17,DSL,No,Bank Transfer,1,False
C700067,20,One year,24.09,511.32,None,No,Mailed Check,0,False
C700068,26,Two year,75.62,1697.85,DSL,No,Bank Transfer,1,False
C700069,43,Two year,74.36,3088.07,Fiber,No,Electronic Check,0,False
C700070,28,Two year,97.14,2478.01,Fiber,No,Mailed Check,0,False
C700071,15,Month-to-month,66.53,922.42,None,No,Bank Transfer,1,False
C700072,61,One year,86.49,5438.23,Fiber,Yes,Mailed Check,0,False
C700073,34,Two year,98.62,3625.26,Fiber,No,Bank Transfer,0,False
C700074,60,Month-to-month,117.81,6783.63,DSL,No,Credit Card,0,False
C700075,54,Two year,72.52,4344.46,Fiber,No,Mailed Check,0,False
C700076,36,One year,137.19,5648.3,DSL,Yes,Credit Card,1,True
C700077,66,Month-to-month,67.17,4522.5,Fiber,No,Electronic Check,0,False
C700078,57,Month-to-month,56.25,3468.56,Fiber,No,Mailed Check,0,True
C700079,1,Two year,44.73,43.16,DSL,No,Mailed Check,0,False
C700080,6,Two year,32.66,185.86,Fiber,No,Credit Card,0,True
C700081,44,Month-to-month,112.81,4384.79,Fiber,No,Mailed Check,0,True
C700082,63,One year,138.69,7840.39,Fiber,Yes,Mailed Check,0,False
C700083,34,One year,40.25,1432.48,DSL,Yes,Bank Transfer,0,True
C700084,26,One year,49.45,1156.04,None,No,Electronic Check,0,False
C700085,39,Month-to-month,77.8,3109.06,None,No,Mailed Check,0,False
C700086,22,One year,65.64,1351.59,Fiber,No,Electronic Check,0,False
C700087,26,One year,21.29,635.92,Fiber,No,Bank Transfer,0,False
C700088,33,One year,29.46,1070.19,Fiber,No,Bank Transfer,0,True
C700089,70,Month-to-month,43.65,2832.6,None,Yes,Credit Card,0,True
C700090,42,Two year,147.9,6968.95,DSL,No,Mailed Check,0,False
C700091,29,One year,47.09,1303.67,Fiber,Yes,Credit Card,1,True
C700092,39,One year,87.13,3458.04,None,Yes,Credit Card,0,True
C700093,7,Two year,106.95,757.75,Fiber,No,Bank Transfer,0,False
