ShipmentID,OrderDate,Warehouse,Carrier,ProductCategory,Units,ShippingCost,DistanceMiles,PromisedDays,ActualDays,LateFlag
SH800000,2025-04-04,New Jersey,RoadRunner,Health,319,1371.56,1282,3,3,False
SH800001,2025-05-28,LA,NorthStar,Electronics,311,646.46,1634,2,3,True
SH800002,2025-08-12,Atlanta,BlueFreight,Apparel,348,769.62,386,5,9,True
SH800003,2025-11-17,Chicago,RoadRunner,Office,358,1370.58,2940,2,2,False
SH800004,2025-08-03,New Jersey,RoadRunner,Office,282,256.81,269,7,6,False
SH800005,2025-06-29,Atlanta,RoadRunner,Apparel,80,795.95,608,10,11,True
SH800006,2025-02-23,LA,RoadRunner,Apparel,39,137.73,785,3,6,True
SH800007,2025-05-09,Atlanta,FastShip,Electronics,451,1464.6,931,5,7,True
SH800008,2025-12-15,Chicago,NorthStar,Office,422,181.52,866,5,5,False
SH800009,2025-05-08,LA,RoadRunner,Health,305,1494.65,1834,10,14,True
SH800010,2025-09-20,New Jersey,BlueFreight,Office,242,1370.48,1627,5,4,False
SH800011,2025-05-22,Dallas,RoadRunner,Home,300,577.86,2500,2,2,False
SH800012,2025-12-27,LA,RoadRunner,Electronics,236,1409.72,2658,10,12,True
SH800013,2025-06-21,New Jersey,RoadRunner,Apparel,467,919.84,975,5,5,False
SH800014,2025-12-21,New Jersey,NorthStar,Electronics,142,273.79,1536,5,8,True
SH800015,2025-03-22,Dallas,FastShip,Home,452,1182.73,1027,3,6,True
SH800016,2025-08-19,New Jersey,RoadRunner,Apparel,477,307.25,899,2,6,True
SH800017,2025-02-04,Dallas,NorthStar,Apparel,393,867.01,1722,5,5,False
SH800018,2025-06-02,Chicago,BlueFreight,Health,498,1437.57,2261,5,5,False
SH800019,2025-07-01,Atlanta,BlueFreight,Health,56,1025.78,39,3,3,False
SH800020,2025-12-06,Chicago,NorthStar,Apparel,161,1394.23,2379,2,2,False
SH800021,2025-08-04,Atlanta,BlueFreight,Home,19,324.08,2018,3,3,False
SH800022,2025-03-05,Dallas,BlueFreight,Electronics,267,669.45,1294,5,8,True
SH800023,2025-04-29,New Jersey,NorthStar,Health,144,489.92,998,10,13,True
SH800024,2025-04-01,Atlanta,BlueFreight,Electronics,228,652.63,2975,7,9,True
SH800025,2025-02-28,New Jersey,FastShip,Home,133,807.52,1032,2,2,False
SH800026,2025-01-07,Dallas,BlueFreight,Health,208,460.43,877,3,5,True
SH800027,2025-12-09,Dallas,NorthStar,Electronics,157,22.65,688,2,1,False
SH800028,2025-04-06,New Jersey,FastShip,Home,29,492.84,1812,3,6,True
SH800029,2025-06-24,LA,BlueFreight,Electronics,186,1181.09,530,5,6,True
SH800030,2025-08-26,Chicago,NorthStar,Office,14,853.01,2256,10,9,False
SH800031,2025-10-11,Dallas,RoadRunner,Electronics,21,1047.43,1691,7,8,True
SH800032,2025-05-07,LA,RoadRunner,Apparel,155,1301.49,1299,7,9,True
SH800033,2025-01-13,New Jersey,RoadRunner,Health,96,307.74,2064,7,11,True
SH800034,2025-11-22,Atlanta,NorthStar,Home,489,900.97,2535,7,6,False
SH800035,2025-08-01,Chicago,NorthStar,Home,14,1486.75,2965,7,9,True
SH800036,2025-10-21,New Jersey,RoadRunner,Health,307,867.25,1814,5,9,True
SH800037,2025-10-24,LA,RoadRunner,Apparel,126,438.9,2871,5,4,False
SH800038,2025-03-17,Atlanta,NorthStar,Electronics,398,386.59,439,3,6,True
SH800039,2025-01-18,Chicago,FastShip,Electronics,286,336.58,1829,7,9,True
SH800040,2025-10-11,New Jersey,BlueFreight,Office,253,345.7,796,2,2,False
SH800041,2025-01-29,New Jersey,NorthStar,Home,40,694.94,735,5,4,False
SH800042,2025-10-04,Dallas,RoadRunner,Office,324,1473.24,447,7,11,True
SH800043,2025-05-16,Atlanta,NorthStar,Home,206,32.56,711,3,4,True
SH800044,2025-04-03,New Jersey,FastShip,Office,144,1077.89,784,3,7,True
SH800045,2025-05-04,Atlanta,FastShip,Electronics,398,344.72,1636,3,5,True
SH800046,2025-05-11,LA,NorthStar,Office,121,301.44,2902,7,7,False
SH800047,2025-06-21,Chicago,NorthStar,Health,370,808.01,811,3,4,True
SH800048,2025-09-05,LA,RoadRunner,Office,229,330.81,1893,2,6,True
SH800049,2025-01-24,LA,BlueFreight,Electronics,171,815.89,990,10,11,True
SH800050,2025-10-10,New Jersey,BlueFreight,Home,252,225.75,844,7,9,True
SH800051,2025-12-07,New Jersey,NorthStar,Home,14,435.03,788,5,9,True
SH800052,2025-02-10,New Jersey,BlueFreight,Office,114,950.46,1488,7,6,False
SH800053,2025-12-31,LA,RoadRunner,Home,307,836.87,2071,3,7,True
SH800054,2025-02-06,New Jersey,RoadRunner,Apparel,151,110.64,93,5,6,True
SH800055,2025-01-04,Chicago,FastShip,Office,356,572.81,1600,5,6,True
SH800056,2025-07-31,Atlanta,FastShip,Home,499,259.4,477,7,8,True
SH800057,2025-12-15,LA,RoadRunner,Health,40,429.73,2172,7,7,False
SH800058,2025-05-25,LA,BlueFreight,Home,177,1036.84,962,7,11,True
SH800059,2025-04-06,Dallas,FastShip,Health,411,1077.27,2044,2,1,False
SH800060,2025-12-11,Atlanta,FastShip,Office,210,175.34,2020,2,1,False
SH800061,2025-01-27,LA,FastShip,Apparel,99,569.51,144,2,1,False
SH800062,2025-08-26,Atlanta,RoadRunner,Apparel,157,1208.74,2428,3,4,True
SH800063,2025-12-17,Atlanta,RoadRunner,Apparel,192,202.88,2488,3,4,True
SH800064,2025-07-05,Chicago,RoadRunner,Apparel,26,752.23,968,7,8,True
SH800065,2025-06-09,LA,FastShip,Apparel,437,1494.08,1598,3,2,False
SH800066,2025-12-20,New Jersey,BlueFreight,Health,347,734.7,1370,7,8,True
SH800067,2025-11-05,LA,NorthStar,Health,53,1356.15,2052,3,2,False
SH800068,2025-01-10,Chicago,BlueFreight,Electronics,383,196.91,2315,5,6,True
SH800069,2025-05-27,Atlanta,NorthStar,Apparel,344,929.05,1468,5,4,False
