OrderID,OrderDate,Region,Category,CustomerSegment,Sales,Discount,Profit,Quantity
100000,2025-06-15,West,Technology,Consumer,4740.37,0.15,710.59,2
100001,2025-08-11,South,Office Supplies,Consumer,2102.5,0.05,-121.23,10
100002,2025-10-27,East,Office Supplies,Consumer,1995.47,0.05,-152.93,2
100003,2025-10-25,West,Furniture,Corporate,2864.6,0.05,181.8,10
100004,2025-08-21,East,Furniture,Corporate,1820.68,0.05,445.91,10
100005,2025-02-07,Central,Office Supplies,Home Office,607.97,0.15,-35.91,6
100006,2025-06-24,South,Technology,Consumer,3482.57,0.2,233.0,12
100007,2025-12-26,South,Furniture,Corporate,1561.84,0.2,437.88,3
100008,2025-11-09,Central,Technology,Consumer,603.14,0.0,8.34,8
100009,2025-07-25,Central,Technology,Consumer,2756.21,0.05,704.55,2
100010,2025-04-01,South,Office Supplies,Corporate,773.47,0.3,-61.62,10
100011,2025-10-17,West,Office Supplies,Corporate,1606.69,0.05,321.73,7
100012,2025-07-24,West,Office Supplies,Consumer,1982.72,0.15,283.02,2
100013,2025-01-01,Central,Office Supplies,Corporate,2842.58,0.2,-292.89,6
100014,2025-11-05,South,Technology,Home Office,1833.53,0.0,-55.74,6
100015,2025-05-16,West,Technology,Home Office,2403.54,0.3,-265.79,5
100016,2025-11-26,Central,Office Supplies,Corporate,4319.36,0.3,792.79,11
100017,2025-04-25,South,Technology,Consumer,3073.88,0.05,768.31,5
100018,2025-08-30,Central,Furniture,Consumer,1310.69,0.3,105.13,4
100019,2025-02-22,South,Office Supplies,Corporate,1149.69,0.05,55.83,11
100020,2025-02-13,East,Office Supplies,Corporate,4176.55,0.0,1299.76,8
100021,2025-07-25,East,Office Supplies,Consumer,3721.9,0.0,862.23,10
100022,2025-11-02,East,Office Supplies,Consumer,4901.92,0.3,1093.67,9
100023,2025-03-13,East,Furniture,Corporate,2180.37,0.05,563.8,9
100024,2025-08-03,Central,Office Supplies,Consumer,4174.29,0.0,1299.49,9
100025,2025-03-19,East,Office Supplies,Home Office,2627.06,0.0,775.79,2
100026,2025-10-12,South,Furniture,Consumer,327.54,0.3,14.05,2
100027,2025-09-17,West,Office Supplies,Corporate,2271.84,0.0,560.68,8
100028,2025-09-18,East,Office Supplies,Consumer,2675.76,0.15,236.36,8
100029,2025-03-12,West,Technology,Consumer,2094.85,0.15,125.92,12
100030,2025-11-26,East,Furniture,Consumer,3308.08,0.05,40.26,11
100031,2025-04-25,South,Technology,Corporate,824.1,0.15,245.13,9
100032,2025-08-23,Central,Technology,Consumer,2213.48,0.0,188.74,5
100033,2025-05-20,East,Furniture,Consumer,217.15,0.05,4.26,9
100034,2025-09-21,Central,Technology,Home Office,2861.56,0.3,-112.66,2
100035,2025-05-14,West,Furniture,Home Office,437.04,0.05,-29.73,3
100036,2025-01-23,East,Office Supplies,Consumer,2644.04,0.05,811.0,5
100037,2025-08-17,West,Technology,Home Office,2510.44,0.05,49.35,8
100038,2025-05-06,South,Furniture,Home Office,4674.52,0.0,949.29,4
100039,2025-04-28,East,Technology,Home Office,1726.67,0.3,230.34,12
100040,2025-05-11,South,Furniture,Consumer,2165.09,0.0,-94.55,8
100041,2025-04-05,Central,Furniture,Consumer,804.51,0.15,-103.33,6
100042,04/04/25,Central,Furniture,Consumer,25.32,0.15,-2.38,3
100043,2025-07-24,Central,Technology,Home Office,2942.27,0.15,-354.04,12
100044,2025-11-02,South,Office Supplies,Home Office,1959.79,0.1,385.21,11
100045,2025-08-08,West,Office Supplies,Home Office,3674.58,0.2,-318.82,4
100046,2025-02-13,West,Office Supplies,Home Office,175.18,0.05,31.06,4
100047,2025-09-08,West,Technology,Corporate,1333.69,0.15,284.09,4
